precinct,election_id,registered_voters,ballots_total
2038.0,17,870.0,411.0
2038.0,19,884.0,739.0
2038.0,20,1.0,0.0
2038.0,21,875.0,184.0
2038.0,26,859.0,457.0
2038.0,28,850.0,244.0
2038.0,29,1006.0,745.0
2039.0,19,880.0,743.0
2039.0,20,0.0,0.0
2039.0,21,852.0,165.0
2039.0,26,813.0,398.0
2039.0,28,813.0,242.0
2039.0,29,937.0,677.0
2040.0,6,1002.0,386.0
2040.0,7,997.0,717.0
2040.0,9,984.0,895.0
2040.0,12,952.0,514.0
2040.0,16,929.0,707.0
2040.0,17,879.0,415.0
2040.0,19,929.0,792.0
2040.0,20,0.0,0.0
2040.0,21,889.0,167.0
2040.0,26,893.0,459.0
2040.0,28,878.0,242.0
2040.0,29,1016.0,745.0
2042.0,1,1045.0,620.0
2042.0,3,1072.0,161.0
2042.0,5,1073.0,511.0
2042.0,6,2348.0,701.0
2042.0,7,2342.0,1411.0
2042.0,9,2267.0,1967.0
2042.0,12,2067.0,913.0
2042.0,16,2007.0,1363.0
2042.0,17,859.0,307.0
2042.0,20,3.0,0.0
2042.0,26,823.0,251.0
2042.0,28,818.0,107.0
2042.0,29,1053.0,605.0
2047.0,1,4167.0,4072.0
2047.0,3,4197.0,1297.0
2047.0,5,4229.0,2637.0
2047.0,6,2353.0,963.0
2047.0,7,2320.0,1660.0
2047.0,9,2273.0,2047.0
2047.0,12,2134.0,1176.0
2047.0,16,2079.0,1622.0
2047.0,17,2028.0,1014.0
2047.0,19,1611.0,1367.0
2047.0,20,3.0,0.0
2047.0,21,1549.0,333.0
2047.0,26,1534.0,803.0
2047.0,28,1546.0,459.0
2047.0,29,770.0,573.0
2048.0,1,1983.0,1848.0
2048.0,3,1996.0,590.0
2048.0,5,2000.0,1206.0
2048.0,6,1996.0,787.0
2048.0,7,2010.0,1394.0
2048.0,9,1988.0,1763.0
2048.0,12,1911.0,999.0
2048.0,16,1848.0,1427.0
2048.0,17,1786.0,797.0
2048.0,19,1878.0,1580.0
2048.0,20,2.0,0.0
2048.0,21,1740.0,302.0
2048.0,26,1747.0,895.0
2048.0,28,1746.0,472.0
2048.0,29,1017.0,789.0
2049.0,1,1529.0,1428.0
2049.0,3,1531.0,415.0
2049.0,5,1546.0,928.0
2049.0,6,850.0,349.0
2049.0,7,850.0,594.0
2049.0,9,838.0,777.0
2049.0,12,783.0,414.0
2049.0,16,733.0,551.0
2049.0,17,716.0,314.0
2049.0,19,731.0,622.0
2049.0,20,1.0,0.0
2049.0,26,691.0,300.0
2049.0,28,690.0,170.0
2049.0,29,795.0,581.0
2051.0,1,2624.0,2678.0
2051.0,3,2632.0,856.0
2051.0,5,2663.0,1663.0
2051.0,6,2176.0,952.0
2051.0,7,2171.0,1588.0
2051.0,9,2111.0,1939.0
2051.0,12,2012.0,1145.0
2051.0,16,1928.0,1487.0
2051.0,17,1957.0,937.0
2051.0,19,1671.0,1455.0
2051.0,20,0.0,0.0
2051.0,21,1618.0,358.0
2051.0,26,1647.0,845.0
2051.0,28,1646.0,480.0
2051.0,29,973.0,678.0
2054.0,0,2635.0,544.0
2054.0,1,2609.0,1490.0
2054.0,3,2627.0,589.0
2054.0,5,2636.0,1052.0
2054.0,6,2615.0,706.0
2054.0,7,2595.0,1350.0
2054.0,9,2519.0,2005.0
2054.0,12,2337.0,966.0
2054.0,16,2183.0,1291.0
2054.0,17,1284.0,424.0
2054.0,19,1319.0,990.0
2054.0,20,3.0,0.0
2054.0,26,1263.0,527.0
2054.0,28,1380.0,297.0
2054.0,29,771.0,558.0
2055.0,0,1260.0,312.0
2055.0,1,1257.0,688.0
2055.0,3,1257.0,305.0
2055.0,5,1245.0,569.0
2055.0,6,1256.0,354.0
2055.0,7,1258.0,713.0
2055.0,9,1242.0,1045.0
2055.0,12,1156.0,540.0
2055.0,16,1093.0,726.0
2055.0,17,1047.0,359.0
2055.0,19,1071.0,838.0
2055.0,20,0.0,0.0
2055.0,26,985.0,409.0
2055.0,28,653.0,107.0
2055.0,29,813.0,482.0
2059.0,29,1006.0,746.0
2060.0,1,638.0,618.0
2060.0,3,640.0,184.0
2060.0,5,638.0,395.0
2060.0,6,635.0,234.0
2060.0,7,634.0,443.0
2060.0,9,629.0,568.0
2060.0,12,640.0,325.0
2060.0,16,624.0,490.0
2060.0,17,547.0,221.0
2060.0,19,575.0,505.0
2060.0,20,0.0,0.0
2060.0,21,571.0,109.0
2060.0,26,551.0,282.0
2060.0,28,553.0,154.0
2060.0,29,630.0,480.0
2061.0,1,2.0,0.0
2061.0,3,2.0,0.0
2061.0,5,2.0,0.0
2061.0,7,2.0,2.0
2061.0,9,2.0,2.0
2061.0,12,0.0,0.0
2061.0,16,2.0,1.0
2061.0,17,2.0,0.0
2061.0,19,3.0,2.0
2061.0,20,0.0,0.0
2061.0,26,2.0,0.0
2061.0,28,6.0,0.0
2061.0,29,6.0,3.0
2069.0,1,972.0,1066.0
2069.0,3,970.0,353.0
2069.0,5,958.0,648.0
2069.0,6,968.0,429.0
2069.0,7,969.0,743.0
2069.0,9,931.0,876.0
2069.0,12,892.0,499.0
2069.0,17,838.0,452.0
2069.0,19,881.0,771.0
2069.0,20,0.0,0.0
2069.0,21,823.0,171.0
2069.0,26,823.0,434.0
2069.0,28,823.0,241.0
2069.0,29,926.0,764.0
2070.0,19,775.0,679.0
2070.0,20,1.0,0.0
2070.0,21,744.0,170.0
2070.0,26,719.0,398.0
2070.0,28,726.0,213.0
2070.0,29,832.0,623.0
2071.0,1,2024.0,2074.0
2071.0,3,2021.0,631.0
2071.0,5,2007.0,1306.0
2071.0,6,1388.0,628.0
2071.0,7,1400.0,1057.0
2071.0,9,1377.0,1262.0
2071.0,12,1297.0,761.0
2071.0,17,1190.0,619.0
2071.0,19,798.0,696.0
2071.0,20,0.0,0.0
2071.0,21,787.0,201.0
2071.0,26,794.0,424.0
2071.0,28,793.0,253.0
2071.0,29,902.0,715.0
2072.0,6,1865.0,776.0
2072.0,7,1880.0,1351.0
2072.0,9,1846.0,1693.0
2072.0,12,1747.0,971.0
2072.0,16,1668.0,1295.0
2072.0,17,1622.0,769.0
2072.0,19,802.0,686.0
2072.0,20,0.0,1.0
2072.0,21,768.0,147.0
2072.0,26,769.0,361.0
2072.0,28,764.0,224.0
2072.0,29,878.0,646.0
2073.0,1,1098.0,714.0
2073.0,3,1123.0,201.0
2073.0,5,1109.0,517.0
2073.0,6,634.0,191.0
2073.0,7,620.0,346.0
2073.0,9,629.0,539.0
